id,name,category,subcategory,latitude,longitude,addressOrFrontage,onKalakaua,onWaikikiBeach,scopeDecision,scopeNotes,tags,priority,sourceConfidence,culturalImportance,historicImportance,visualProminence,driveByValue,sensitivity,safetyFlags,evergreen,freshness,eventStartDate,eventEndDate,recurrence,sourceName,sourceURL,narration
poi-king-kalakaua-statue-waikiki-gateway,King David Kalakaua Statue,culture,public_art,21.2855,-157.8329,2050 Kalakaua Ave / Waikiki Gateway Park,True,False,keep,At the Ala Moana Boulevard/Kalakaua Avenue route start.,"culture, gateway, hawaii, kalakaua-avenue, monarchy, statue",4,0.84,0.8,0.52,0.35,0.88,normal,,True,evergreen,,,,Historic Hawaii Foundation,https://historichawaii.org/2022/07/22/photos-from-the-statues-of-waikiki-walking-tour/,"The route begins near the Kalakaua statue, a gateway marker for the avenue named after Hawaii's last reigning king."
poi-luxury-row,Luxury Row,landmark,retail,21.2827,-157.8314,2100 Kalakaua Ave,True,False,keep,Official Kalakaua Avenue frontage.,"architecture, kalakaua-avenue, landmark, retail, street-life",2,0.84,0.28,0.26,0.59,0.64,normal,,True,evergreen,,,,Luxury Row,https://shopluxuryrow.com/,Luxury Row condenses Kalakaua's high-end storefront identity into a compact block of international fashion brands.
poi-royal-hawaiian-center-helumoa,Royal Hawaiian Center / Helumoa,culture,historic_place,21.27948,-157.830062,2201 Kalakaua Ave,True,False,keep,Kalakaua frontage; heritage source ties the site to Helumoa.,"culture, hawaii, helumoa, kalakaua-avenue, retail, royal-history",5,0.84,1.0,0.65,0.35,1.0,normal,,True,evergreen,,,,Royal Hawaiian Center,https://www.royalhawaiiancenter.com/heritage,"Royal Hawaiian Center sits on Helumoa, the historic coconut-grove landscape now folded into Kalakaua's retail core."
poi-sheraton-waikiki,Sheraton Waikiki Beach Resort,landmark,hotel_architecture,21.27762,-157.830245,2255 Kalakaua Ave,True,True,keep,Official Kalakaua address and direct Waikiki Beach frontage.,"architecture, beachfront, hotel, kalakaua-avenue, landmark",3,0.84,0.42,0.39,0.71,0.76,normal,,True,evergreen,,,,SAH Archipedia,https://sah-archipedia.org/buildings/HI-01-OA136,Sheraton Waikiki is a 1971 beachfront high-rise that once ranked among the world's largest resort hotels.
poi-royal-hawaiian-hotel,The Royal Hawaiian,history,historic_hotel,21.277333,-157.828968,2259 Kalakaua Ave,True,True,keep,Historic Kalakaua hotel with Waikiki Beach frontage.,"beachfront, heritage, history, hotel, kalakaua-avenue, pink-palace",5,0.84,0.7,1.0,0.35,1.0,normal,,True,evergreen,,,,The Royal Hawaiian,https://www.royal-hawaiian.com/history-overview/,The Royal Hawaiian opened in 1927 and made its pink beachfront profile one of Waikiki's defining landmarks.
poi-waikiki-shopping-plaza,Waikiki Shopping Plaza,landmark,retail,21.2793,-157.8285,2250 Kalakaua Ave,True,False,keep,Kalakaua/Seaside corner on the route.,"architecture, kalakaua-avenue, landmark, retail, seaside-avenue",2,0.84,0.28,0.26,0.59,0.64,normal,,True,evergreen,,,,Waikiki Shopping Plaza,https://waikikishoppingplaza.com/about/,Waikiki Shopping Plaza has marked the Kalakaua and Seaside retail corner since 1978.
poi-waikiki-theatre-site,Waikiki Theatre Site,history,lost_building,21.278533,-157.827943,2284 Kalakaua Ave,True,False,keep,Historic building site directly on Kalakaua Avenue.,"architecture, heritage, history, kalakaua-avenue, lost-waikiki, theater",4,0.84,0.56,0.8,0.35,0.88,normal,,True,evergreen,,,,Cinema Treasures,https://cinematreasures.org/theaters/838,"The former Waikiki Theatre was a 1936 atmospheric movie palace with artificial clouds, a rainbow, tropical planting, and a pipe organ."
poi-outrigger-waikiki-beachcomber,OUTRIGGER Waikiki Beachcomber Hotel,landmark,hotel_entertainment,21.278247,-157.827342,2300 Kalakaua Ave,True,False,keep,Official Kalakaua Avenue address.,"architecture, entertainment, hotel, kalakaua-avenue, landmark",2,0.84,0.28,0.26,0.59,0.64,normal,,True,evergreen,,,,OUTRIGGER,https://www.outrigger.com/hawaii/oahu/outrigger-waikiki-beachcomber-hotel,"The Beachcomber layers local art, food, and live entertainment into a central Kalakaua hotel block."
poi-international-market-place,International Market Place,landmark,retail_history,21.277459,-157.826838,2330 Kalakaua Ave,True,False,keep,Direct Kalakaua entrance.,"architecture, banyan, kalakaua-avenue, landmark, retail, street-life",4,0.84,0.56,0.52,0.83,0.88,normal,,True,evergreen,,,,International Market Place,https://shopinternationalmarketplace.com/,International Market Place began as a tiki-era open-air Waikiki marketplace and still centers its identity around a banyan-tree setting.
poi-outrigger-waikiki-beach-resort,OUTRIGGER Waikiki Beach Resort,culture,beachfront_hotel,21.277005,-157.827542,2335 Kalakaua Ave,True,True,keep,Kalakaua address with direct Waikiki Beach frontage.,"beachboys, culture, hawaii, kalakaua-avenue, music, surf, waikiki-beach",4,0.84,0.8,0.52,0.35,0.88,normal,,True,evergreen,,,,OUTRIGGER,https://www.outrigger.com/hotels-resorts/hawaii/oahu/outrigger-waikiki-beach-resort,"Outrigger Waikiki Beach Resort ties Kalakaua's hotel strip directly to Duke's, live music, and Waikiki surf culture."
poi-apuakehau-stream-beachboys,Apuakehau Stream and Waikiki Beach Boys,culture,surf_history,21.2767,-157.8277,Waikiki Beach by Outrigger/Moana,False,True,keep,Historic Trail coordinates place it on the Waikiki Beach edge.,"beachboys, culture, hawaii, historic-trail, surf, waikiki-beach",5,0.84,1.0,0.65,0.35,1.0,normal,,True,evergreen,,,,Waikiki Historic Trail,https://www.waikikihistorictrail.org/apuakehau-stream-waikiki-beach-boys,"Near the Outrigger and Moana beach edge, Apuakehau connects the old stream mouth with the Waikiki Beach Boys' surf legacy."
poi-moana-surfrider,Moana Surfrider,history,historic_hotel,21.276499,-157.826885,2365 Kalakaua Ave,True,True,keep,Historic Kalakaua hotel with Waikiki Beach frontage.,"architecture, heritage, history, hotel, kalakaua-avenue, waikiki-beach",5,0.84,0.7,1.0,0.35,1.0,normal,,True,evergreen,,,,Marriott,https://www.marriott.com/en-us/hotels/hnlwi-moana-surfrider-a-westin-resort-and-spa-waikiki-beach/rooms/wings-suites/history/,"Opened in 1901, the Moana Surfrider is Waikiki's original beachfront hotel and still puts its porte cochere on Kalakaua Avenue."
poi-moana-banyan-courtyard,Moana Banyan Courtyard,nature,historic_tree,21.2769,-157.8278,Inside Moana Surfrider beachfront courtyard,False,True,keep,On the Moana beachfront property.,"banyan, history, hotel, nature, park, waikiki-beach",4,0.84,0.56,0.52,0.83,0.45,normal,,True,evergreen,,,,Marriott,https://www.marriott.com/en-us/hotels/hnlwi-moana-surfrider-a-westin-resort-and-spa-waikiki-beach/rooms/wings-suites/history/,The Moana courtyard banyan was planted in 1904 and now anchors one of Waikiki's oldest oceanfront hotel spaces.
poi-duke-kahanamoku-statue,Duke Kahanamoku Statue,culture,public_art,21.275456,-157.825304,Kuhio Beach at Uluniu Street,True,True,keep,On Kuhio Beach along Kalakaua Avenue.,"culture, hawaii, kalakaua-avenue, kuhio-beach, statue, surf",5,0.95,1.0,0.65,0.35,1.0,normal,,True,evergreen,,,,Go Hawaii,https://www.gohawaii.com/islands/oahu/regions/honolulu/duke-kahanamoku-statue,"Duke Kahanamoku's bronze figure faces Kalakaua from Kuhio Beach, honoring the Waikiki waterman who carried surfing worldwide."
poi-kuhio-beach-hula-mound,Kuhio Beach Hula Mound,culture,performance_site,21.2767,-157.8259,Beachside near Duke statue / Kalakaua,True,True,keep,WIA places the performance site beachside near the Duke statue.,"culture, hawaii, hula, kalakaua-avenue, kuhio-beach, music",4,0.84,0.8,0.52,0.35,0.88,normal,,True,evergreen,,,,Waikiki Improvement Association,https://www.waikikiimprovement.com/events,The Kuhio Beach Hula Mound keeps Hawaiian music and hula visible at the beach edge near the Duke statue.
poi-kapaemahu-stones,Na Pohaku Ola Kapaemahu a Kapuni,history,cultural_site,21.275773,-157.825682,Kuhio Beach at Kaiulani Avenue,True,True,keep,Cultural site on Kuhio/Waikiki Beach immediately off Kalakaua.,"culture, healing-stones, heritage, history, kuhio-beach, waikiki-beach",5,0.84,0.7,1.0,0.35,1.0,cultural,avoid_sensationalizing,True,evergreen,,,,Waikiki Historic Trail,https://www.waikikihistorictrail.org/the-healing-stones-of-kapaemahu,The Kapaemahu stones preserve the story of four Tahitian healers whose healing power was remembered on Waikiki Beach.
poi-hyatt-regency-waikiki,Hyatt Regency Waikiki Beach Resort and Spa,landmark,hotel,21.276266,-157.82545,2424 Kalakaua Ave,True,False,keep,Official Kalakaua address across from Kuhio Beach.,"architecture, duke-statue, hotel, kalakaua-avenue, landmark",2,0.84,0.28,0.26,0.59,0.64,normal,,True,evergreen,,,,Hyatt,https://www.hyatt.com/hyatt-regency/en-US/hnlrw-hyatt-regency-waikiki-beach-resort-and-spa,Hyatt Regency's twin towers sit across Kalakaua from the Duke statue in the dense center of the beach corridor.
poi-alohilani-resort-oceanarium,Alohilani Resort Oceanarium,landmark,hotel_feature,21.274667,-157.82319,2490 Kalakaua Ave,True,False,keep,Official Kalakaua address near Kuhio Beach.,"architecture, hotel, kalakaua-avenue, landmark, oceanarium",3,0.84,0.42,0.39,0.71,0.76,normal,,True,evergreen,,,,Alohilani Resort,https://www.alohilaniresort.com/transformation/,Alohilani transformed the former Pacific Beach Hotel around a large lobby Oceanarium steps from Kuhio Beach.
poi-prince-kuhio-statue,Prince Jonah Kuhio Kalanianaole Statue,culture,public_art,21.273389,-157.823802,Kuhio Beach / 2501-2537 Kalakaua Ave,True,True,keep,City public-art data places the statue on Kuhio Beach along Kalakaua.,"culture, hawaii, kalakaua-avenue, kuhio-beach, public-art, statue",4,0.95,0.8,0.52,0.35,0.88,normal,,True,evergreen,,,,City and County of Honolulu Public Art,https://data.honolulu.gov/api/views/yef5-h88r/rows.pdf?accessType=DOWNLOAD,Prince Kuhio's bronze figure anchors the civic-art stretch of Kuhio Beach Park on Kalakaua.
poi-prince-kuhio-historic-marker,Prince Kuhio Historic Trail Marker,history,historic_marker,21.273181,-157.823751,Kuhio Beach near Ohua Street,True,True,keep,Historic marker on the Kalakaua beach edge.,"heritage, historic-trail, history, kalakaua-avenue, kuhio-beach, royal-history",4,0.84,0.56,0.8,0.35,0.88,normal,,True,evergreen,,,,Waikiki Historic Trail,https://www.waikikihistorictrail.org/prince-jonah-khi-kalanianaole-piikoi,"The Prince Kuhio marker ties royal lineage, public service, and Hawaiian Homes advocacy to this beach park."
poi-kuhio-beach-park,Kuhio Beach Park,nature,beach_park,21.275,-157.8269,Waikiki Beach from Moana/Kuhio toward Kapahulu,True,True,keep,Part of Waikiki Beach directly along Kalakaua.,"kalakaua-avenue, kuhio-beach, nature, park, protected-water, waikiki-beach",4,0.84,0.56,0.52,0.83,0.45,normal,,True,evergreen,,,,To-Hawaii,https://www.to-hawaii.com/oahu/beaches/kuhiobeach.php,"Kuhio Beach Park is central Waikiki's beach section, shaped by seawalls, groins, public art, and protected swimming water."
poi-kuhio-beach-swimming-zone,Kuhio Beach Swimming Zone,nature,shoreline_engineering,21.275,-157.8269,Kuhio Beach protected swimming area,False,True,keep,DLNR describes the exact Kuhio Beach swimming-area boundaries.,"groin, kuhio-beach, nature, park, swimming, waikiki-beach",4,0.95,0.56,0.52,0.83,0.45,normal,,True,evergreen,,,,Hawaii DLNR DOBOR,https://dlnr.hawaii.gov/dobor/where-can-i-fish/,"Kuhio's protected swimming area is bounded by groins, seawall, and shoreline, making this stretch feel calmer than open reef water."
poi-waikiki-beach-marker,Waikiki Historic Trail Beach Marker,history,historic_marker,21.271572,-157.822882,Kuhio Beach at Kapahulu Avenue,True,True,keep,Historic marker at the Kalakaua/Kapahulu beach end.,"heritage, historic-trail, history, kalakaua-avenue, surf, waikiki-beach",4,0.84,0.56,0.8,0.35,0.88,normal,,True,evergreen,,,,Waikiki Historic Trail,https://www.waikikihistorictrail.org/waikki,The Waikiki marker explains the area's older identity as a watery chiefly surf place with named breaks and long rides.
poi-makua-and-kila,Makua and Kila,culture,public_art,21.271524,-157.822906,Kuhio Beach at Kapahulu Avenue,True,True,keep,City public-art data places the sculpture at Kuhio Beach/Kapahulu.,"culture, hawaii, kalakaua-avenue, kuhio-beach, monk-seal, public-art, surf",3,0.95,0.6,0.39,0.35,0.76,normal,,True,evergreen,,,,City and County of Honolulu Public Art,https://data.honolulu.gov/api/views/yef5-h88r/rows.pdf?accessType=DOWNLOAD,"Makua and Kila pairs a boy on a surfboard with a monk seal, giving the Kapahulu end a playful surf-and-sea-life marker."
poi-surfer-on-a-wave,Surfer on a Wave,culture,public_art,21.270492,-157.822447,Kuhio Beach near Monsarrat Avenue,True,True,keep,City public-art data places the sculpture on Kuhio Beach frontage.,"culture, hawaii, kalakaua-avenue, kuhio-beach, public-art, surf",3,0.95,0.6,0.39,0.35,0.76,normal,,True,evergreen,,,,City and County of Honolulu Public Art,https://data.honolulu.gov/api/views/yef5-h88r/rows.pdf?accessType=DOWNLOAD,Surfer on a Wave turns Waikiki's surf identity into a life-size sculpture visible from the beach sidewalk.
poi-kapahulu-groin-walls,Kapahulu Groin / The Wall,landmark,shoreline_feature,21.2729,-157.8228,Kalakaua/Kapahulu beach edge,True,True,keep,Visible shoreline feature at the route end.,"architecture, bodyboarding, groin, kuhio-beach, landmark, surf, waikiki-beach",4,0.84,0.56,0.52,0.83,0.88,normal,,True,evergreen,,,,To-Hawaii,https://www.to-hawaii.com/oahu/beaches/kuhiobeach.php,The Kapahulu Groin separates Kuhio Beach from the Kapiolani side and helps define the Wall bodyboarding zone.
poi-waikiki-beach-nourishment,Central Waikiki Beach Nourishment,nature,shoreline_engineering,21.277333,-157.828968,Central Waikiki Beach / Royal Hawaiian groin,False,True,keep,Directly about the engineered shoreline visible from Waikiki Beach.,"engineering, nature, park, sand, shoreline, waikiki-beach",4,0.95,0.56,0.52,0.83,0.45,normal,,True,evergreen,,,,Hawaii DLNR OCCL,https://dlnr.hawaii.gov/occl/files/2013/08/2012-Waikiki-Beach-Maintenance-Final-Report.pdf,"A 2012 beach project restored a central Waikiki stretch with offshore sand, widening the beach between the Kuhio wall and Royal Hawaiian groin."
poi-canoes-surf-break,Canoes Surf Break,culture,surf_break,21.277333,-157.828968,Offshore from central Waikiki/Royal Hawaiian,False,True,keep,Named surf break directly off Waikiki Beach.,"canoes, culture, hawaii, royal-hawaiian, surf, waikiki-beach",4,0.84,0.8,0.52,0.35,0.88,normal,,True,evergreen,,,,Hawaiian South Shore,https://www.hawaiiansouthshore.com/blogs/waves-of-the-south-shore-series/surf-guide-series-canoes-hawaii,Canoes is the classic beginner-friendly Waikiki wave offshore of the Royal Hawaiian beach frontage.
poi-queens-surf-break,Queen's Surf Break,culture,surf_break,21.272,-157.824,Off Queen's/Kuhio Beach,False,True,keep,Named surf break on the Waikiki Beach edge.,"culture, hawaii, queens, reef, surf, waikiki-beach",4,0.84,0.8,0.52,0.35,0.88,normal,,True,evergreen,,,,Hawaii Surf,https://hawaii.surf/queens-surf-break-waikiki-guide/,Queen's is an eastern Waikiki reef break tied to the Kuhio and Kapiolani Park edge of the beach.
poi-publics-reef-break,Publics Reef Break,culture,surf_break,21.265673,-157.821724,Off Waikiki Aquarium / Queen's Beach edge,False,True,keep,Beach-edge surf/reef fact at the Diamond Head end.,"aquarium, culture, hawaii, reef, surf, waikiki-beach",3,0.84,0.6,0.39,0.35,0.76,normal,,True,evergreen,,,,Hawaiian South Shore,https://www.hawaiiansouthshore.com/blogs/waves-of-the-south-shore-series/surf-guide-series-publics-hawaii,Publics is a left-hand reef break off the Aquarium end of Waikiki's beach-and-reef corridor.
poi-waikiki-mlcd-boundary,Waikiki Marine Life Conservation District,nature,marine_conservation,21.2657,-157.8217,Diamond Head end of Waikiki Beach,False,True,keep,Beach-visible marine conservation zone.,"conservation, marine-life, nature, park, reef, waikiki-beach",4,0.95,0.56,0.52,0.83,0.45,normal,,True,evergreen,,,,Hawaii DLNR DAR,https://dlnr.hawaii.gov/dar/marine-managed-areas/hawaii-marine-life-conservation-districts/oahu-waikiki/,"At Waikiki's Diamond Head end, the Marine Life Conservation District protects reef habitat extending offshore from the Kapahulu groin toward the Natatorium."
poi-waikiki-aquarium-reef-flat,Waikiki Aquarium Reef Flat,nature,reef,21.265673,-157.821724,Waikiki Aquarium seawall / reef edge,False,True,keep,Direct reef fact for the Waikiki Beach edge.,"aquarium, marine-life, nature, park, reef, waikiki-beach",3,0.95,0.42,0.39,0.71,0.45,normal,,True,evergreen,,,,Hawaii DLNR DAR,https://dlnr.hawaii.gov/dar/marine-managed-areas/hawaii-marine-life-conservation-districts/oahu-waikiki/,"Just off the Aquarium seawall, a shallow reef flat and dredged channel concentrate fish along the Diamond Head end of Waikiki."
poi-waikiki-beach-marriott,Waikiki Beach Marriott Resort and Spa,history,hotel_site,21.273206,-157.822375,2552 Kalakaua Ave,True,False,keep,Official Kalakaua address near the Kapahulu end.,"heritage, history, hotel, kalakaua-avenue, queen-liliuokalani",3,0.84,0.42,0.6,0.35,0.76,normal,,True,evergreen,,,,Marriott,https://www.marriott.com/en-us/hotels/hnlmc-waikiki-beach-marriott-resort-and-spa/overview/,Waikiki Beach Marriott stands on a Kalakaua site associated with Queen Liliuokalani's former Waikiki residences.
poi-twin-fin-hotel,The Twin Fin Hotel,landmark,surf_hotel,21.2728,-157.8222,2570 Kalakaua Ave,True,False,keep,Official Kalakaua address near the route end.,"architecture, hotel, kalakaua-avenue, kuhio-beach, landmark, surf",2,0.84,0.28,0.26,0.59,0.64,normal,,True,evergreen,,,,The Twin Fin,https://www.twinfinwaikiki.com/about/,The Twin Fin leans into Waikiki surf culture from the Diamond Head end of Kalakaua near Kuhio Beach.
poi-sans-souci-beach,Sans Souci / Kaimana Beach,nature,beach,21.2649,-157.8204,Diamond Head end of Waikiki Beach,False,True,keep_edge,Strict beach-corridor item; not on the Kalakaua driving route.,"kaimana, nature, park, sans-souci, swimming, waikiki-beach",2,0.84,0.28,0.26,0.59,0.45,normal,,True,evergreen,,,,To-Hawaii,https://www.to-hawaii.com/oahu/beaches/sanssoucibeach.php,"Sans Souci, also known as Kaimana Beach, is the quieter Diamond Head end of Waikiki's beach corridor."
poi-dukes-waikiki,Duke's Waikiki,food,beachfront_restaurant,21.2769,-157.8275,2335 Kalakaua Ave,True,True,keep,Beachfront restaurant inside Outrigger Waikiki Beach Resort.,"duke-kahanamoku, food, kalakaua-avenue, live-music, local-business, waikiki-beach",4,0.84,0.56,0.52,0.35,0.45,normal,,True,evergreen,,,,Duke's Waikiki,https://www.dukeswaikiki.com/,"Duke's Waikiki puts food, live music, and Duke Kahanamoku memorabilia directly on the Outrigger's beachfront edge."
poi-hula-grill-waikiki,Hula Grill Waikiki,food,beachfront_restaurant,21.2769,-157.8275,2335 Kalakaua Ave,True,True,keep,Beachfront dining at the Outrigger Waikiki Beach Resort address.,"food, kalakaua-avenue, local-business, local-ingredients, waikiki-beach",3,0.84,0.42,0.39,0.35,0.45,normal,,True,evergreen,,,,Hula Grill Waikiki,https://www.hulagrillwaikiki.com/,"Hula Grill sits above the Outrigger beach walk, framing local-style food with a direct Waikiki Beach view."
poi-monkeypod-waikiki,Monkeypod Kitchen Waikiki,food,restaurant,21.27948,-157.830062,"2201 Kalakaua Ave, Royal Hawaiian Center",True,False,keep,Located in Royal Hawaiian Center on Kalakaua Avenue.,"food, hawaii-regional, kalakaua-avenue, local-business, royal-hawaiian-center",3,0.84,0.42,0.39,0.35,0.45,normal,,True,evergreen,,,,Monkeypod Kitchen,https://monkeypodkitchen.com/locations/waikiki/,"Monkeypod brings a Hawaii regional menu into Royal Hawaiian Center, giving the Kalakaua retail core a food stop with local sourcing cues."
poi-restaurant-suntory,Restaurant Suntory,food,japanese_restaurant,21.27948,-157.830062,2233 Kalakaua Ave / Royal Hawaiian Center,True,False,keep,Official site lists a Kalakaua Avenue Waikiki address.,"food, japanese, kalakaua-avenue, local-business, royal-hawaiian-center",2,0.84,0.28,0.26,0.35,0.45,normal,,True,evergreen,,,,Restaurant Suntory,https://restaurantsuntory.com/,Restaurant Suntory adds a long-running Japanese dining layer to Royal Hawaiian Center's Kalakaua food scene.
poi-doraku-sushi-waikiki,Doraku Sushi Waikiki,food,sushi,21.27948,-157.830062,"Royal Hawaiian Center, Kalakaua/Seaside",True,False,keep,Source places it in Royal Hawaiian Center with escalator access at Kalakaua and Seaside.,"food, japanese, kalakaua-avenue, local-business, royal-hawaiian-center",2,0.84,0.28,0.26,0.35,0.45,normal,,True,evergreen,,,,Doraku Sushi,https://dorakusushi.com/waikiki/,Doraku Sushi sits above the Kalakaua and Seaside corner inside Royal Hawaiian Center.
poi-stripsteak-waikiki,STRIPSTEAK Waikiki,food,restaurant,21.277459,-157.826838,"2330 Kalakaua Ave, International Market Place",True,False,keep,Official site lists International Market Place / Kalakaua Avenue.,"food, international-market-place, kalakaua-avenue, local-business",2,0.84,0.28,0.26,0.35,0.45,normal,,True,evergreen,,,,Mina Group,https://theminagroup.com/restaurants/stripsteak-waikiki/,STRIPSTEAK brings a Michael Mina steakhouse layer to International Market Place's Grand Lanai above Kalakaua.
poi-lulus-waikiki,Lulu's Waikiki,food,beach_view_restaurant,21.2724,-157.8221,2586 Kalakaua Ave,True,False,keep,Official address is on Kalakaua across from Waikiki/Kuhio Beach.,"beach-view, food, kalakaua-avenue, kuhio-beach, local-business",3,0.84,0.42,0.39,0.35,0.45,normal,,True,evergreen,,,,Lulu's Waikiki,https://www.luluswaikiki.com/,"Lulu's sits across from Kuhio Beach at the Diamond Head end of Kalakaua, with an open-air view over the beach edge."
poi-big-island-burger-waikiki,Big Island Burger Waikiki,food,casual_food,21.2793,-157.8285,2250 Kalakaua Ave,True,False,keep,Official site lists the Waikiki Shopping Plaza / Kalakaua address.,"burger, food, kalakaua-avenue, local-business, waikiki-shopping-plaza",2,0.84,0.28,0.26,0.35,0.45,normal,,True,evergreen,,,,Big Island Burger,https://bigislandburger.net/,Big Island Burger adds a casual local-beef food stop to Waikiki Shopping Plaza on Kalakaua.
event-kuhio-beach-hula-show,Kuhio Beach Hula Show,event,recurring_cultural_performance,21.2767,-157.8259,Kuhio Beach Hula Mound,True,True,keep_event,Recurring event at the beachside hula mound along Kalakaua.,"event, hula, kalakaua-avenue, kuhio-beach, music, recurring-event, time-sensitive",5,0.84,0.7,0.65,0.35,0.45,normal,,False,recurring_schedule,,,"Tuesdays and Saturdays, weather permitting",Kuhio Beach Hula Show,https://kbhulashow.wixsite.com/official?_escaped_fragment_=schedule%2Fc21r&lightbox=image1g4t,The Kuhio Beach Hula Show brings free Hawaiian music and hula to the beachside mound on Tuesday and Saturday evenings.
event-pan-pacific-festival-2026,Pan-Pacific Festival 2026,event,upcoming_festival,21.2785,-157.8279,Kalakaua Avenue,True,False,keep_event,Official festival page places the parade along Kalakaua Avenue.,"event, festival, kalakaua-avenue, parade, street-party, time-sensitive, upcoming-event",5,0.84,0.7,0.65,0.35,0.45,normal,,False,dated_2026,2026-06-12,2026-06-14,,Pan-Pacific Festival,https://www.panpacificfestival.org/event/pan-pacific-parade/,"The Pan-Pacific Festival returns June 12-14, 2026, with Kalakaua Avenue as the main parade and street-festival spine."
event-king-kamehameha-floral-parade-2026,King Kamehameha Celebration Floral Parade 2026,event,upcoming_parade,21.2785,-157.8279,Kalakaua Avenue parade route,True,False,keep_event,Current event listing names Kalakaua Avenue in the parade route.,"event, kalakaua-avenue, king-kamehameha, parade, time-sensitive, upcoming-event",4,0.84,0.56,0.52,0.35,0.45,normal,,False,dated_2026,2026-06-13,2026-06-13,,Culture and Arts on Oahu,https://www.thecreativecity.org/events/acpjyd5x49ztlpl-8adf4-ppjm6-8k72k-wgc62-cd5zh-rzj4f-74gzb-29ykd-4t5cm-63843-y84dj-hnas6-zjwwm-b3ekn-j3gg4-9f9lt-ljlbm-hn22x,"On June 13, 2026, the King Kamehameha Floral Parade is scheduled to continue onto Kalakaua Avenue before ending near Monsarrat."
event-aloha-festivals-floral-parade-2026,Aloha Festivals Floral Parade 2026,event,upcoming_parade,21.2785,-157.8279,Kalakaua Avenue parade route,True,False,keep_event,Official event page lists Kalakaua Avenue as the parade route.,"aloha-festivals, event, kalakaua-avenue, parade, time-sensitive, upcoming-event",4,0.84,0.56,0.52,0.35,0.45,normal,,False,dated_2026,2026-09-26,2026-09-26,,Aloha Festivals,https://www.alohafestivals.com/floral-parade/,The 2026 Aloha Festivals Floral Parade is scheduled to travel from Ala Moana Park along Kalakaua Avenue to Kapiolani Park.
event-royal-hawaiian-center-cultural-programming,Royal Hawaiian Center Cultural Programming,event,recurring_cultural_activity,21.27948,-157.830062,2201 Kalakaua Ave,True,False,keep_event,Official events page for a Kalakaua Avenue center.,"event, hula, kalakaua-avenue, lei, recurring-event, time-sensitive, ukulele",3,0.84,0.42,0.39,0.35,0.45,normal,,False,recurring_schedule,,,Recurring cultural activities; verify day/time before narration,Royal Hawaiian Center,https://www.royalhawaiiancenter.com/events,"Royal Hawaiian Center regularly stages cultural activities such as hula, music, ukulele, lei-making, and keiki programs in the Kalakaua retail core."
event-royal-hawaiian-ahaaina-luau,Ahaaina Luau at The Royal Hawaiian,event,recurring_luau,21.277333,-157.828968,2259 Kalakaua Ave,True,True,keep_event,Recurring event at a Kalakaua hotel with beach frontage.,"event, food, hula, kalakaua-avenue, luau, time-sensitive, waikiki-beach",3,0.84,0.42,0.39,0.35,0.45,normal,,False,recurring_schedule,,,Mondays and Thursdays per source; verify before live use,The Royal Hawaiian,https://www.royal-hawaiian.com/dining-overview/ahaaina-luau/,"The Royal Hawaiian's Ahaaina luau pairs food, hula, music, and storytelling on the Pink Palace's Waikiki Beach frontage."
event-waikiki-friday-fireworks,Waikiki Friday Fireworks,event,recurring_fireworks,21.2836,-157.8355,Duke Kahanamoku Beach / western Waikiki Beach,False,True,keep_edge_event,Beach-visible recurring event at the western Waikiki shoreline; not on the Kalakaua driving route.,"event, fireworks, friday, recurring-event, time-sensitive, waikiki-beach",3,0.84,0.42,0.39,0.35,0.45,normal,,False,recurring_schedule,,,Friday evenings; verify time before narration,Hilton Hawaiian Village,https://hiltonhawaiianvillage.com/events/friday-night-fireworks/,Friday night fireworks launch from the Hilton Hawaiian Village beachfront and are often visible along western Waikiki Beach.
